Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,
3381,20.89,3.80%,0.0074,0.148711732
3382,1.82,32.57%,0.0098,0.0120268148
3383,18.53,13.20%,0.0082,0.131889128
3384,3.97,15.26%,0.009,0.030277602
3385,1.87,31.46%,0.0098,0.0125606404
3386,13.76,36.11%,0.0039,0.0342859296
3387,5.74,35.69%,0.006,0.022148364
3388,3.25,16.70%,0.004,0.010829
3389,15.68,0.42%,0.0076,0.1186674944
3390,20.92,39.69%,0.0044,0.0555141488
3391,7.33,19.92%,0.001,0.005869864
3392,3.44,25.56%,0.0091,0.0233026976
3393,23.68,22.88%,0.0037,0.0675694592
3394,15.6,14.89%,0.0023,0.030537468
3395,4.72,30.51%,0.0063,0.0206635464
3396,19.93,22.60%,0.0075,0.11569365
3397,14.96,29.12%,0.0053,0.0561993344
3398,2.63,33.66%,0.0012,0.0020936904
3399,2.6,2.12%,0.0056,0.014251328
3400,5.59,38.89%,0.0042,0.0143474058
3401,21.2,17.51%,0.0044,0.076946672
3402,3.82,30.14%,0.0078,0.0208154856
3403,16.16,34.73%,0.0034,0.0358619488
3404,24.13,23.83%,0.0022,0.0404356062
3405,6.19,11.69%,0.0001,0.0005466389
3406,6.81,22.65%,0.0016,0.008428056
3407,5.23,14.83%,0.005,0.022271955
3408,13.6,5.36%,0.0029,0.037326016
3409,16.71,27.13%,0.0044,0.0535769388
3410,14.36,18.02%,0.0038,0.0447348464
3411,1.74,24.90%,0.0078,0.010192572
3412,12.38,13.16%,0.0069,0.0741804648
3413,0.87,1.72%,0.0053,0.0045316908
3414,22.83,33.73%,0.0017,0.0257200497
3415,2.82,13.37%,0.0039,0.0095275674
3416,21.95,24.59%,0.0089,0.1473172055
3417,2.94,35.19%,0.005,0.00952707
3418,13.77,39.38%,0.0054,0.0450758196
3419,3.23,25.89%,0.0043,0.0102931379
3420,10.29,3.20%,0.0087,0.086658264
3421,11.48,26.97%,0.0038,0.0318586072
3422,10.18,10.38%,0.0065,0.059301554
3423,17.18,37.13%,0.0001,0.0010801066
3424,6.69,32.54%,0.0021,0.0094774554
3425,22.77,17.52%,0.0079,0.1483674984
3426,2.9,23.83%,0.0094,0.020763942
3427,19.53,5.27%,0.004,0.074003076
3428,10.8,0.35%,0.0032,0.03443904
3429,5.36,38.72%,0.0018,0.0059122944
3430,3.43,7.80%,0.006,0.01897476
3431,11.82,7.20%,0.0046,0.050457216
3432,17.78,14.18%,0.004,0.061035184
3433,7.54,19.86%,0.0095,0.057404282
3434,11.49,24.14%,0.0071,0.0618858294
3435,16.2,32.00%,0.004,0.044064
3436,6.73,10.19%,0.0022,0.0132972686
3437,6.37,11.02%,0.0004,0.0022672104
3438,2.7,24.90%,0.0034,0.00689418
3439,13.92,17.54%,0.0062,0.0711662784
3440,1.93,37.29%,0.0081,0.0098034543
3441,3.27,21.83%,0.0026,0.0066460134
3442,19.92,35.63%,0.0091,0.1166847864
3443,0.93,10.73%,0.0058,0.0048152238
3444,16.28,14.30%,0.0012,0.016742352
3445,24.28,8.52%,0.0081,0.1799118864
3446,17.15,23.78%,0.0016,0.020914768
3447,15.94,17.64%,0.0065,0.085333196
3448,16.88,29.65%,0,0
3449,13.93,29.08%,0.0078,0.0770574168
3450,12.92,32.72%,0.0038,0.0330317888
3451,22.84,21.07%,0.002,0.036055224
3452,16.95,38.39%,0.0007,0.0073100265
3453,6.55,10.15%,0.0031,0.0182440425
3454,21.39,35.58%,0.0071,0.0978340098
3455,21.86,24.04%,0.0029,0.0481540824
3456,3.24,29.28%,0.0028,0.0064157184
3457,13.29,2.07%,0.0006,0.0078089382
3458,20.93,5.94%,0.0059,0.1161518722
3459,13.91,31.37%,0.0049,0.0467775217
3460,18.95,23.06%,0.0087,0.126847131
3461,3.54,33.64%,0.0022,0.0051681168
3462,1.16,22.95%,0.0042,0.003753876
3463,0.16,8.70%,0.0001,0.000014608
3464,18.88,22.40%,0.0051,0.074719488
3465,3.12,30.06%,0.007,0.015274896
3466,8.59,28.92%,0.0021,0.0128221212
3467,17.71,20.40%,0.004,0.05638864
3468,6.75,39.10%,0.008,0.032886
3469,22.05,8.60%,0.0033,0.06650721
3470,11.32,15.09%,0.004,0.038447248
3471,13.64,9.69%,0.0054,0.0665187336
3472,10.24,35.66%,0.0064,0.0421658624
3473,19.46,33.06%,0.0082,0.1068174968
3474,24.46,29.52%,0.007,0.120675856
3475,22.99,39.32%,0.0075,0.10462749
3476,22.79,25.15%,0.0048,0.081879912
3477,24.11,33.27%,0.0086,0.1383619858
3478,22.17,16.68%,0.0098,0.1810260312
3479,5.58,22.03%,0.0016,0.0069611616
3480,2.7,2.99%,0.001,0.00261927
3481,9.94,23.72%,0.0014,0.0106151248
3482,2.37,26.65%,0.0025,0.0043459875
3483,1.74,20.41%,0.0022,0.0030467052
3484,15.24,35.13%,0.0096,0.0949074048
3485,2.03,21.01%,0.0085,0.0136297245
3486,11.87,35.19%,0.0079,0.0607742813
3487,17.03,33.75%,0.0043,0.0485142125
3488,6.04,39.63%,0.004,0.014585392
3489,7.22,15.15%,0.0052,0.031856084
3490,11.69,34.57%,0.0025,0.0191219175
3491,14.56,18.77%,0.0073,0.0863377424
3492,18.83,1.38%,0.0005,0.009285073
3493,8.98,17.89%,0.0006,0.0044240868
3494,0.76,27.00%,0.0021,0.00116508
3495,2.42,12.52%,0.0038,0.0080446608
3496,18.82,14.93%,0.0096,0.1536976704
3497,15.85,15.45%,0.0033,0.0442238775
3498,14.66,1.28%,0.0033,0.0477587616
3499,5.6,4.82%,0.0016,0.008528128
3500,17,19.87%,0.0036,0.04903956
3501,15.17,31.20%,0.0069,0.072015024
3502,17.75,0.37%,0.0051,0.0901900575
3503,0.56,19.70%,0.0033,0.001483944
3504,13.53,30.89%,0.0058,0.0542333814
3505,23.07,1.32%,0.0018,0.0409778568
3506,3.5,33.64%,0.0061,0.01416786
3507,13.29,27.13%,0.0005,0.0048422115
3508,24.81,23.28%,0.0078,0.1484670096
3509,11.21,28.25%,0.0014,0.011260445
3510,7.92,13.35%,0.0019,0.013039092
3511,2.22,30.55%,0.0021,0.003237759
3512,6.35,5.69%,0.0017,0.0101807645
3513,10.67,13.63%,0.0015,0.0138235185
3514,13.63,0.36%,0.0088,0.1195122016
3515,21.44,25.68%,0.0093,0.1481881344
3516,24.5,20.66%,0.0025,0.04859575
3517,9.28,5.74%,0.001,0.008747328
3518,17.09,20.98%,0.0035,0.047265813
3519,4.35,17.91%,0.0068,0.024282222
3520,12.78,7.56%,0.0086,0.1015989552
3521,18.42,8.47%,0.0095,0.160168347
3522,15.38,20.38%,0.0087,0.1065363372
3523,3.97,1.07%,0.0096,0.0377042016
3524,9.42,36.80%,0.0002,0.001190688
3525,13.87,30.31%,0.0043,0.0415638129
3526,11.39,10.07%,0.009,0.092187243
3527,10.49,0.89%,0.0083,0.0862921037
3528,15.55,18.57%,0.0068,0.086104082
3529,3.92,36.58%,0.0021,0.0052207344
3530,6.06,15.58%,0.0096,0.0491121792
3531,5.26,9.21%,0.0071,0.0339064334
3532,7.58,25.51%,0.0062,0.0350073204
3533,22.12,32.91%,0.0082,0.1216905256
3534,23.39,28.25%,0.0076,0.12754567
3535,17.91,6.99%,0.0029,0.0483084639
3536,2.52,7.86%,0.0026,0.0060370128
3537,5.95,6.62%,0.003,0.01666833
3538,14.56,37.68%,0.0001,0.0009073792
3539,12.32,29.91%,0.0059,0.0509470192
3540,22.15,18.25%,0.0068,0.12313185
3541,12.4,10.76%,0.0044,0.048689344
3542,5.49,27.83%,0.0014,0.0055469862
3543,21.29,31.32%,0.0014,0.0204707608
3544,11.87,6.02%,0.0066,0.0736258116
3545,20.83,16.24%,0.0063,0.1099174104
3546,13.29,32.31%,0.0085,0.0764660085
3547,1.04,27.43%,0.0093,0.0070189704
3548,13.09,34.02%,0.008,0.069094256
3549,18.16,2.67%,0.0058,0.1025157424
3550,11.82,34.33%,0.0061,0.0473493834
3551,0.39,19.71%,0.0053,0.0016595943
3552,8.62,19.85%,0.0023,0.015890539
3553,3.29,36.71%,0.0008,0.0016657928
3554,17.85,14.55%,0.0069,0.1052444925
3555,3.87,34.80%,0.0043,0.010849932
3556,16.91,4.50%,0.0048,0.07751544
3557,7.9,18.03%,0.0042,0.027197646
3558,15.63,13.33%,0.0031,0.0419942151
3559,0.04,11.40%,0.0029,0.000102776
3560,11.1,24.94%,0.0086,0.071652276
3561,8.39,26.86%,0.0038,0.0233184948
3562,24.34,37.97%,0.0094,0.1419221588
3563,19.2,27.63%,0.0049,0.068085696
3564,12.05,9.23%,0.0015,0.0164066775
3565,6.72,34.88%,0.0074,0.0323828736
3566,0.3,23.32%,0.0053,0.001219212
3567,7.29,6.83%,0.0057,0.0387149301
3568,23.66,7.29%,0.0093,0.2039972298
3569,3.67,39.59%,0.0083,0.0184014901
3570,4.4,14.33%,0.0034,0.012816232
3571,15.83,34.25%,0.0096,0.09991896
3572,21.93,16.87%,0.0044,0.0802137996
3573,12.4,15.31%,0.0052,0.054608112
3574,16.38,18.16%,0.0098,0.1313728416
3575,4.15,39.62%,0.003,0.00751731
3576,9.46,32.57%,0.0017,0.0108440926
3577,4.12,28.63%,0.0051,0.0149962644
3578,5.64,2.48%,0.0057,0.0313507296
3579,11.59,11.68%,0.0014,0.0143308032
3580,19,9.55%,0.0087,0.14951385
3581,20.73,37.88%,0.0085,0.109458546
3582,16.63,9.35%,0.0005,0.0075375475
3583,11.03,7.38%,0,0
3584,15.79,2.27%,0.0062,0.0956757154
3585,16.94,0.11%,0.0022,0.0372270052
3586,15.46,25.56%,0.0063,0.0725030712
3587,2.9,11.25%,0.0031,0.007978625
3588,17.5,6.02%,0.0006,0.0098679
3589,9.09,25.25%,0.003,0.020384325
3590,11.57,11.18%,0.0041,0.0421335434
3591,7.29,7.23%,0.0063,0.0426064779
3592,18.87,23.44%,0.0016,0.0231149952
3593,9.46,1.74%,0.0097,0.0901653412
3594,10.81,36.54%,0.0062,0.0425321612
3595,1.25,2.24%,0.0005,0.000611
3596,22.59,2.26%,0.0013,0.0287033058
3597,14.41,26.33%,0.0037,0.0392786339
3598,9.97,7.73%,0.0019,0.0174787061
3599,24.39,2.84%,0.0043,0.1018984932
3600,7.21,10.56%,0.0056,0.0361122944
3601,17.15,7.46%,0.001,0.01587061
3602,9.77,22.38%,0.0095,0.072043003
3603,12.26,39.56%,0.0012,0.0088919328
3604,3.9,34.89%,0.004,0.01015716
3605,0.45,30.43%,0.0073,0.0022853745
3606,4.94,30.86%,0.0056,0.0191268896
3607,5.15,17.82%,0.007,0.02962589
3608,6.72,21.63%,0.0074,0.0389718336
3609,3.09,9.62%,0.0013,0.0036305646
3610,4.64,28.14%,0.0019,0.0063351776
3611,2.99,39.49%,0.0001,0.0001809249
3612,24.02,13.08%,0.0001,0.0020878184
3613,12.58,8.74%,0.0041,0.0470700828
3614,17.36,11.16%,0.0031,0.0478101344
3615,4.33,32.81%,0.0036,0.0104735772
3616,15.94,7.74%,0.001,0.014706244
3617,0.15,32.22%,0.0049,0.000498183
3618,5.92,12.39%,0.003,0.015559536
3619,7.41,0.51%,0.0098,0.0722476482
3620,20.44,37.43%,0.0013,0.0166261004
3621,2.45,30.80%,0.0026,0.00440804
3622,24.53,30.19%,0.0033,0.0565104969
3623,7.49,36.93%,0.0005,0.0023619715
3624,5.44,31.42%,0.0063,0.0235037376
3625,0.54,28.18%,0.0043,0.0016676604
3626,22.97,37.62%,0.0084,0.1203609624
3627,7.7,37.98%,0.0022,0.010506188
3628,23.77,32.83%,0.0065,0.1037810085
3629,1.21,1.75%,0.0081,0.0096294825
3630,6.03,8.01%,0.0081,0.0449306757
3631,14.45,16.39%,0.0016,0.019330632
3632,6.54,4.03%,0.0058,0.0364033404
3633,14.23,12.81%,0.008,0.099257096
3634,6.12,34.37%,0.0037,0.0148612572
3635,21.93,16.38%,0.0029,0.0531798114
3636,8.55,13.01%,0.0018,0.013387761
3637,12.13,10.39%,0.0094,0.1021751142
3638,7.78,16.43%,0.0057,0.0370599522
3639,18.29,23.81%,0.0026,0.0362313926
3640,11.06,9.16%,0.0091,0.0914268264
3641,22.57,20.55%,0.0054,0.096832071
3642,19.34,26.94%,0.0088,0.1243422752
3643,19.12,25.18%,0.0095,0.135903048
3644,4.99,23.05%,0.0072,0.027646596
3645,15.64,32.55%,0.0031,0.032702458
3646,20.78,8.48%,0.0038,0.0722678528
3647,18.41,15.76%,0.0081,0.1256195304
3648,8.73,11.84%,0.0044,0.0338640192
3649,3.55,17.33%,0.0065,0.0190761025
3650,6.34,37.05%,0.0031,0.012372193
3651,2.44,25.03%,0.0065,0.011890242
3652,23.79,27.00%,0.0079,0.13719693
3653,3.89,39.07%,0.0077,0.0182503629
3654,24.79,33.76%,0.0082,0.1346513472
3655,1.82,39.00%,0.0063,0.00699426
3656,23.43,26.59%,0.005,0.085999815
3657,11.05,38.46%,0.0057,0.038760969
3658,7.84,10.84%,0.0063,0.0440379072
3659,24.51,19.62%,0.0088,0.1733700144
3660,4.3,27.46%,0.0052,0.016219944
3661,14.52,38.56%,0.0047,0.0419291136
3662,4.59,3.15%,0.0055,0.0244497825
3663,2.46,35.73%,0.0036,0.0056917512
3664,7.7,21.67%,0.0026,0.015681666
3665,3.43,12.59%,0.0028,0.0083948564
3666,15.31,22.98%,0.0088,0.1037675056
3667,4.89,10.18%,0.0083,0.0364552434
3668,1.19,19.37%,0.008,0.007675976
3669,3.26,9.46%,0.0057,0.0168241428
3670,23.19,0.96%,0.0067,0.1538814192
3671,5.51,15.01%,0.0016,0.0074927184
3672,17.13,9.26%,0.0052,0.0808275624
3673,13.35,28.99%,0.0006,0.005687901
3674,12.31,30.34%,0.0045,0.038588157
3675,11.01,33.75%,0.0084,0.06127065
3676,9.76,0.95%,0.0039,0.037702392
3677,20.57,0.18%,0.0023,0.0472258402
3678,22.33,27.36%,0.0071,0.1151656352
3679,1.13,24.92%,0.0077,0.0065327108
3680,9.92,6.06%,0.0083,0.0773464384
3681,22.19,11.23%,0.0096,0.1891014048
3682,2.31,36.87%,0.0011,0.0016041333
3683,24.78,8.73%,0.002,0.045233412
3684,19.93,34.85%,0.0058,0.075309491
3685,2.55,19.60%,0.007,0.0143514
3686,14.33,4.30%,0.0089,0.122052909
3687,12.29,28.59%,0.0011,0.0096539179
3688,5.66,28.34%,0.0062,0.0251469272
3689,13.61,38.75%,0.006,0.05001675
3690,5.67,18.86%,0.0068,0.0312843384
3691,23.78,6.90%,0.0096,0.212536128
3692,5.41,0.83%,0.0092,0.0493588924
3693,12.41,21.62%,0.0029,0.0282081782
3694,18.94,9.23%,0.0033,0.0567330654
3695,23.93,17.08%,0.0093,0.1845376308
3696,9.45,7.65%,0.0001,0.0008727075
3697,3.15,32.40%,0.0052,0.01107288
3698,15,27.74%,0.0002,0.0021678
3699,20.82,11.58%,0.0034,0.0625907496
3700,23.75,34.43%,0.008,0.124583
3701,24.23,29.35%,0.0086,0.147219057
3702,12.24,36.78%,0.0029,0.0224405712
3703,1.24,2.91%,0.0016,0.0019262656
3704,20.48,28.78%,0.0021,0.0306302976
3705,7.19,33.26%,0.0015,0.007197909
3706,10.01,33.59%,0.009,0.059828769
3707,19.98,22.07%,0.0074,0.1152210636
3708,22.72,37.82%,0.0017,0.0240164032
3709,23.12,6.67%,0.0069,0.1488874824
3710,14.58,22.47%,0.0081,0.0915613794
3711,23.62,16.61%,0.0014,0.0275754052
3712,17.1,13.57%,0.0016,0.023647248
3713,20.05,28.23%,0.0031,0.0446086435
3714,0.99,3.59%,0.0083,0.0079220097
3715,16.46,36.51%,0.0079,0.0825585866
3716,1.33,6.74%,0.0025,0.003100895
3717,1.44,11.36%,0.0052,0.0066373632
3718,4.79,36.12%,0.01,0.03059852
3719,13.7,2.49%,0.0068,0.090840316
3720,1.94,32.32%,0.0055,0.007221456
3721,4.38,39.90%,0.0054,0.014214852
3722,23.05,30.70%,0.0072,0.11501028
3723,15.05,37.14%,0.0025,0.023651075
3724,18.2,16.49%,0.0044,0.066874808
3725,17.74,7.87%,0.0088,0.1438259856
3726,19.75,39.12%,0.0016,0.01923808
3727,6.83,27.49%,0.0071,0.0351622743
3728,0.68,17.52%,0.01,0.00560864
3729,8.86,28.10%,0.0078,0.049688652
3730,3.6,5.01%,0.0088,0.030092832
3731,1.4,23.21%,0.0071,0.007632926
3732,14.03,11.71%,0.0014,0.0173419218
3733,17.76,39.53%,0.0068,0.0730284096
3734,6.28,34.50%,0.0024,0.00987216
3735,19.92,25.27%,0.0072,0.1071807552
3736,20.17,35.50%,0.0098,0.12749457
3737,7.17,31.93%,0.0031,0.0151299189
3738,8.91,25.77%,0.0057,0.0376991901
3739,8.73,23.41%,0.0067,0.0447982569
3740,13.69,12.28%,0.0085,0.102075378
3741,3.04,8.45%,0.0047,0.013080664
3742,19.79,9.49%,0.0047,0.0841860663
3743,18.06,0.76%,0.0016,0.0286763904
3744,8.62,9.02%,0.0027,0.0211746852
3745,18.57,1.05%,0.0078,0.143325117
3746,0.6,25.01%,0.0017,0.000764898
3747,22.29,5.94%,0.0037,0.0775741038
3748,7.98,15.17%,0.0008,0.0054155472
3749,10.88,26.52%,0.0068,0.0543634432
3750,2.8,38.53%,0.0082,0.014113512
3751,1.25,20.67%,0.0024,0.0023799
3752,19.98,0.15%,0.0076,0.151620228
3753,7.75,22.57%,0.0013,0.0078010725
3754,7.99,35.80%,0.009,0.04616622
3755,6.46,2.39%,0.0017,0.0107195302
3756,5.78,30.81%,0.0098,0.0391919836
3757,24.32,17.99%,0.0045,0.089751744
3758,20.48,33.70%,0.0075,0.1018368
3759,10.31,21.07%,0.0041,0.0333645003
3760,19.85,27.72%,0.0001,0.001434758
3761,4.41,21.77%,0.0039,0.0134547777
3762,9.86,14.98%,0.0096,0.0804765312
3763,1.5,13.64%,0.0022,0.00284988
3764,0.7,6.98%,0.0024,0.001562736
3765,17.77,36.26%,0.0023,0.0260511754
3766,4.16,1.81%,0.0054,0.0220574016
3767,8.73,27.18%,0.002,0.012714372
3768,5.25,16.07%,0.0027,0.0118970775
3769,12.97,39.69%,0.0044,0.0344177108
3770,23.38,27.67%,0.0079,0.1335949566
3771,1.99,25.59%,0.0022,0.0032576698
3772,10.33,2.02%,0.0058,0.0587037372
3773,11.08,12.14%,0.0081,0.0788525928
3774,2.9,26.74%,0.0079,0.016783866
3775,10.25,15.20%,0.0074,0.0643208
3776,13.67,1.29%,0.0001,0.0013493657
3777,5.75,16.08%,0.0069,0.03329526
3778,17.95,25.78%,0.0067,0.089260683
3779,20.53,24.01%,0.0008,0.0124805976
3780,14.75,1.04%,0.0037,0.05400742
3781,21.01,29.34%,0.0055,0.081651163
3782,12.73,22.28%,0.0054,0.0534262824
3783,23.75,8.44%,0.0018,0.0391419
3784,14.52,9.63%,0.0095,0.124656378
3785,2.38,36.84%,0.0043,0.0064637944
3786,5.88,33.82%,0.0046,0.0179003664
3787,12.62,4.21%,0.0083,0.1003361934
3788,16.32,26.93%,0.0081,0.0965926944
3789,14.98,30.25%,0.0062,0.06478101
3790,19.54,31.54%,0.0059,0.0789247956
3791,11.65,10.64%,0.0002,0.002082088
3792,3.69,19.54%,0.0017,0.0050472558
3793,12.91,35.83%,0.0055,0.0455639085
3794,24.74,33.64%,0.0061,0.1001465304
3795,9.17,5.56%,0.0096,0.0831374208
3796,15.61,17.07%,0.0004,0.0051781492
3797,21.19,12.26%,0.0021,0.0390434226
3798,5.92,38.26%,0.0014,0.0051170112
3799,15.95,8.34%,0.0088,0.128653976
3800,17.24,14.69%,0.0032,0.0470638208
3801,5.99,14.99%,0.0076,0.0386999524
3802,24.34,16.63%,0.0053,0.1075489674
3803,6.04,24.67%,0.0096,0.0436793472
3804,15.4,34.31%,0.0033,0.033383658
3805,15.76,37.48%,0.0086,0.0847371072
3806,7.7,20.71%,0.0034,0.020758122
3807,10.76,27.52%,0.0091,0.0709695168
3808,21.91,25.26%,0.0098,0.1604802332
3809,13.09,34.50%,0.0063,0.054015885
3810,15.65,4.85%,0.0076,0.11317141
3811,5.51,11.01%,0.0017,0.0083356933
3812,8.02,29.15%,0.0071,0.040343407
3813,18.13,17.72%,0.0034,0.0507190376
3814,11.46,36.11%,0.0089,0.0651639666
3815,20.22,19.00%,0.005,0.081891
3816,2.83,7.29%,0.0066,0.0173163738
3817,8.35,14.81%,0.0081,0.0576182565
3818,5.14,5.94%,0.001,0.004834684
3819,11.12,35.68%,0.0085,0.060795264
3820,16.14,36.81%,0.006,0.061193196
3821,11.6,19.22%,0.0047,0.044041256
3822,3.31,25.60%,0.0061,0.015022104
3823,24.77,15.97%,0.0003,0.0062442693
3824,14.17,22.26%,0.0014,0.0154220612
3825,9.71,29.39%,0.0046,0.0315386626
3826,7.4,7.08%,0.0007,0.004813256
3827,12.45,0.01%,0.0053,0.0659784015
3828,22.26,39.95%,0.0034,0.045448242
3829,9.82,27.70%,0.0029,0.020589594
3830,20.67,23.63%,0.0008,0.0126285432
3831,2.66,8.78%,0.0036,0.0087352272
3832,24.87,23.14%,0.0059,0.1127789838
3833,17.1,37.79%,0.0038,0.040424058
3834,0.48,15.05%,0.0009,0.000366984
3835,21.83,37.79%,0.0071,0.0964211453
3836,0.6,16.00%,0.0011,0.0005544
3837,12.78,23.12%,0.0096,0.0943225344
3838,3.89,17.92%,0.0087,0.0277783344
3839,8.95,28.48%,0.0052,0.033285408
3840,8.19,18.27%,0.0048,0.0321296976
3841,3.31,21.31%,0.0005,0.0013023195
3842,18.29,21.54%,0.0025,0.035875835
3843,0.92,4.59%,0.0074,0.0064955128
3844,21.92,22.55%,0.0028,0.047535712
3845,14.75,16.19%,0.0048,0.05933748
3846,6.67,35.40%,0.0091,0.039210262
3847,4.56,34.82%,0.0056,0.0166443648
3848,22.69,35.44%,0.0048,0.0703135872
3849,12.7,19.58%,0.0033,0.033704022
3850,5.73,38.91%,0.0089,0.0311540673
3851,9.33,25.91%,0.0045,0.0311066865
3852,8.26,27.11%,0.0015,0.009031071
3853,22.64,31.17%,0.0089,0.1386896968
3854,5.47,25.46%,0.0054,0.0220176252
3855,12.58,18.45%,0.0056,0.057450344
3856,23.52,22.77%,0.0005,0.009082248
3857,18.81,3.26%,0.0096,0.1746892224
3858,9.1,20.36%,0.0079,0.057253196
3859,10.68,36.87%,0.0002,0.0013484568
3860,23.24,11.18%,0.0082,0.1692624976
3861,17.62,35.63%,0.0019,0.0215497886
3862,3.41,10.84%,0.0003,0.0009121068
3863,1.58,29.94%,0.0058,0.0064202984
3864,2.38,1.94%,0.0049,0.0114357572
3865,18.02,21.67%,0.0034,0.0479912244
3866,10.13,6.41%,0.002,0.018961334
3867,1.94,15.18%,0.0057,0.0093793956
3868,22.86,36.47%,0.0035,0.050830353
3869,19.06,26.57%,0.001,0.013995758
3870,22.42,31.45%,0.0034,0.052254294
3871,10.06,27.89%,0.0021,0.0152339586
3872,8.54,26.31%,0.0055,0.034612193
3873,11.09,35.61%,0.0033,0.0235648083
3874,5.31,5.77%,0.0023,0.0115083099
3875,0.37,34.44%,0.0039,0.0009460308
3876,17.92,38.57%,0.009,0.099074304
3877,23.28,1.83%,0.0055,0.125696868
3878,16.05,12.83%,0.001,0.013990785
3879,2.54,20.95%,0.0017,0.003413379
3880,15,13.74%,0.0005,0.0064695
3881,8.91,17.46%,0.0066,0.0485384724
3882,20.32,16.96%,0.0049,0.0826812672
3883,21.2,30.98%,0.0036,0.052676064
3884,17.2,21.43%,0.009,0.12162636
3885,11.74,9.85%,0.0074,0.078318714
3886,22.81,29.41%,0.0036,0.0579656844
3887,11.99,28.86%,0.0037,0.0315598382
3888,4.16,23.59%,0.0034,0.0108074304
3889,7.24,37.75%,0.0042,0.01892898
3890,22.57,29.33%,0.0007,0.0111651533
3891,0.27,22.39%,0.0009,0.0001885923
3892,0.54,27.33%,0.0085,0.003335553
3893,19.01,35.05%,0.0076,0.093837162
3894,19.22,10.36%,0.0012,0.0206745696
3895,5.92,23.05%,0.0082,0.037354608
3896,9.22,34.01%,0.0057,0.0346803846
3897,13.36,11.35%,0.0076,0.090011664
3898,19.04,33.89%,0.0083,0.1044749552
3899,9.45,23.31%,0.0088,0.063775404
3900,8.96,25.72%,0.0039,0.0259564032
3901,11.37,21.39%,0.0097,0.0866981829
3902,16.97,27.49%,0.0028,0.0344538516
3903,20.7,29.70%,0.008,0.1164168
3904,0.67,32.09%,0.01,0.00454997
3905,11.29,30.13%,0.0094,0.0741502362
3906,1.73,32.00%,0.0086,0.01011704
3907,1.57,37.29%,0.0017,0.0016737299
3908,4.39,20.34%,0.0039,0.0136385886
3909,20.27,15.16%,0.0098,0.1685312664
3910,2.83,36.46%,0.0084,0.0151047288
3911,10.24,36.89%,0.0065,0.042006016
3912,1.42,11.31%,0.0039,0.0049116522
3913,13.23,22.58%,0.0064,0.0655530624
3914,12.46,20.29%,0.0012,0.0119182392
3915,10.86,10.43%,0.0095,0.092409369
3916,2.95,38.48%,0.0019,0.003448196
3917,1.34,21.49%,0.0011,0.0011572374
3918,1.13,27.91%,0.0022,0.0017921574
3919,21.07,4.65%,0.0073,0.1466587885
3920,9.8,21.77%,0.0022,0.016866388
3921,2.25,21.84%,0.0014,0.00246204
3922,11.24,23.83%,0.004,0.034246032
3923,13.8,10.52%,0.0056,0.069150144
3924,9.39,13.23%,0.0042,0.0342203526
3925,20.86,22.20%,0.0072,0.116849376
3926,9.86,39.64%,0.0046,0.0273768816
3927,7.09,23.52%,0.0066,0.0357880512
3928,16.95,22.74%,0.0041,0.053691837
3929,13.52,20.79%,0.0063,0.0674679096
3930,3.12,9.10%,0.0091,0.025808328
3931,4.61,33.31%,0.0014,0.0043041726
3932,24.38,0.66%,0.0064,0.1550021888
3933,4.37,31.35%,0.003,0.009000015
3934,15.74,34.93%,0.0049,0.0501858882
3935,20.91,11.20%,0.002,0.03713616
3936,5.24,13.18%,0.0065,0.029570892
3937,22,37.63%,0.0032,0.04390848
3938,11.78,19.87%,0.0006,0.0056635884
3939,7.92,39.79%,0.0092,0.0438714144
3940,21.8,32.67%,0.0005,0.00733897
3941,5.31,22.64%,0.0034,0.0139665744
3942,21.42,3.80%,0.0004,0.008242416
3943,24.33,9.48%,0.009,0.198211644
3944,24.67,2.16%,0.0015,0.036205692
3945,18.86,32.14%,0.0067,0.0857492532
3946,22.64,13.46%,0.0015,0.029388984
3947,22.9,12.96%,0.0068,0.135538688
3948,6.12,2.21%,0.0028,0.0167572944
3949,22.62,32.74%,0.0027,0.0410783724
3950,20.52,25.49%,0.0009,0.0137605068
3951,4.39,38.79%,0.0086,0.0231092234
3952,0.38,32.54%,0.0048,0.0012304704
3953,24.51,4.65%,0.0005,0.0116851425
3954,16.3,18.99%,0.0014,0.018486482
3955,17.23,21.71%,0.0007,0.0094425569
3956,1.07,6.04%,0.0068,0.0068365296
3957,13.56,9.36%,0.0086,0.1057007424
3958,8.16,26.55%,0.0098,0.058736496
3959,18.77,19.32%,0.0084,0.1272065424
3960,21.14,16.03%,0.0053,0.0940816674
3961,9.47,24.53%,0.0027,0.0192969243
3962,4.46,25.09%,0.0091,0.0304029726
3963,2.43,29.14%,0.0051,0.0087816798
3964,11.03,5.75%,0.0095,0.0987598625
3965,11.69,2.52%,0.0028,0.0319071536
3966,24.09,12.75%,0.0048,0.10088892
3967,4.66,14.75%,0.0036,0.01430154
3968,15.89,0.38%,0.0024,0.0379910832
3969,0.69,22.90%,0.0061,0.003245139
3970,15.64,3.78%,0.0035,0.052670828
3971,12.09,35.35%,0.0076,0.059403006
3972,6.16,7.39%,0.0016,0.0091276416
3973,10.53,11.71%,0.0008,0.0074375496
3974,0.35,15.31%,0.0038,0.001126377
3975,20.06,22.89%,0.0039,0.0603262374
